name, street, city, state, zipcode, county, lat, long
Minnechaug Regional High,621 Main Street,Wilbraham,MA,01095,Hampden County,42.110927,-72.444592
Minuteman Regional High,758 Marrett Rd,Lexington,MA,02421,Middlesex County,42.445907,-71.274808
Miriam F McCarthy School,8 Flagg Drive,Framingham,MA,01701,Middlesex County,42.29124,-71.416222
Miscoe Hill School,148 North Avenue,Mendon,MA,01756,Worcester County,42.1305,-71.57269
MISS HALL'S SCHOOL,492 HOLMES RD,PITTSFIELD,MA,01201,Berkshire County,42.426486,-73.244345
MISS TANYAS WOODLAND SCHOOL,7 WASHINGTON ST,WESTBOROUGH,MA,01581,Worcester County,42.27786,-71.564355
Missituk Elementary School,37 Hicks Avenue,Medford,MA,02155,Middlesex County,42.40152,-71.10193
Mitchell Elementary School,500 South Street,Bridgewater,MA,02324,Plymouth County,41.976866,-70.979809
MITTAS DAY CARE LLC DBA THE LEARNING EXPERIENCE,220R MAIN ST,WILMINGTON,MA,01887,Middlesex County,42.557319,-71.180451
Mittineague,26 Second Street,West Springfield,MA,01089,Hampden County,42.1034,-72.638957
Mohawk Trail Regional School,26 Ashfield Road,Shelburne Falls,MA,01370,Franklin County,42.616376,-72.755787
Monatiquot Kindergarten Center,25 Brow Avenue,Braintree,MA,02184,Norfolk County,42.210916,-71.006506
Monomoy Regional High School,75 Oak Street,Harwich,MA,02645,Barnstable County,41.689968,-70.066924
Monomoy Regional Middle School,425 Crowell Road,Chatham,MA,02633,Barnstable County,41.694484,-69.971163
Monson High School,55 Margaret Street,Monson,MA,01057,Hampden County,42.115341,-72.324032
Montachusett Regional Vocational Technical,1050 Westminster Street,Fitchburg,MA,01420,Worcester County,42.560791,-71.860758
Montclair,8 Belmont Street,Quincy,MA,02171,Norfolk County,42.270695,-71.032349
MONTESSORI CHILDREN'S HOUSE OF NANTUCKET,7 PHEASANT DR,NANTUCKET,MA,02554,Nantucket County,41.268142,-70.105585
MONTROSE SCHOOL,29 N ST,MEDFIELD,MA,02052,Norfolk County,42.18748,-71.306131
Monument Mt Regional High,600 Stockbridge Road,Great Barrington,MA,01230,Berkshire County,42.249292,-73.328342
Moody,59 Margin Street,Haverhill,MA,01832,Essex County,42.765279,-71.096542
Moody Elementary,158 Rogers Street,Lowell,MA,01852,Middlesex County,42.63648,-71.29724
Moody Preschool Extension,26 Belmont Street,Haverhill,MA,01830,Essex County,42.776469,-71.120934
Morgan Full Service Community School,596 South Bridge Street,Holyoke,MA,01040,Hampden County,42.195779,-72.607865
Morningside Community School,100 Burbank Street,Pittsfield,MA,01201,Berkshire County,42.456818,-73.24441
Morris,129 West Street,Lenox,MA,01240,Berkshire County,42.355534,-73.296712
Morse,40 Granite Street,Cambridge,MA,02139,Middlesex County,42.3559,-71.11261
Morse Pond School,323 Jones Road,Falmouth,MA,02540,Barnstable County,41.559144,-70.604644
Morton Middle,1135 North Main Street,Fall River,MA,02720,Bristol County,41.716269,-71.149444
Mosier,101 Mosier Street,South Hadley,MA,01075,Hampshire County,42.244706,-72.575694
MOTHER CAROLINE ACADEMY & EDUCATION CENTER,515 BLUE HILL AVE,DORCHESTER,MA,02121,Suffolk County,42.307587,-71.084321
MOUNT ALVERNIA ACADEMY,20 MANET RD,CHESTNUT HILL,MA,02467,Middlesex County,42.33853,-71.173581
MOUNT HOPE CHRISTIAN SCHOOL,3 MCGINNIS DR,BURLINGTON,MA,01803,Middlesex County,42.502732,-71.198573
Mountain View,77 Hampden Rd,East Longmeadow,MA,01028,Hampden County,42.051873,-72.483304
Mountain View School,200 Park Street,Easthampton,MA,01027,Hampshire County,42.254012,-72.671565
Mountainside Preschool,600 Stockbridge Road,Great Barrington,MA,01230,Berkshire County,42.249292,-73.328342
